Column1,productname,productsubname,productprice,productactualprice,Discount
247,Shazam: Thunderbolt,T-Shirts,649,649,0.00%
248,Solid: White,Jerseys,599,599,0.00%
249,Superman: The Classic Symbol,T-Shirts,599,599,0.00%
250,Dungeons & Dragons: Vintage,Hooded T-Shirts,1049,1049,0.00%
251,Tom And Jerry: Crime Time,T-Shirts,699,699,0.00%
252,TSS Originals: Topaz Tint,Oversized Polos,1299,1299,0.00%
253,Avatar: Make Tea Not War,Oversized T-Shirts,1049,1049,0.00%
254,TSS Originals: Scribbles,Oversized T-Shirts,1299,1299,0.00%
255,Marvel: Comic Nerd,T-Shirts,799,799,0.00%
256,Solids: Black,Polos,1049,1049,0.00%
257,Solids: Orange Blaze,Oversized T-Shirts,849,849,0.00%
258,Batman: Madness In Gotham,Oversized T-Shirts,649,999,35.04%
259,Solids: Baltic Sea,Polos,699,999,30.03%
260,TSS Originals: Furious Dragon,Oversized Polos,1499,1499,0.00%
261,TSS Originals: Mudart,Hooded T-Shirts,1499,1499,0.00%
262,Iron Man: Arc Reactor (Glow In The Dark),Drop Cut T-Shirts,999,999,0.00%
263,Batman: The Bat Sigil,Oversized T-Shirts,1049,1049,0.00%
264,FRIENDS: The Frame,Oversized T-Shirts,899,899,0.00%
265,Looney Tunes: The Squad,T-Shirts,549,549,0.00%
266,Shazam: Realm of Gods,Oversized T-Shirts,849,849,0.00%
267,Mickey Mouse: Yo,Oversized T-Shirts,999,999,0.00%
268,Top Gun: Logo,T-Shirts,799,799,0.00%
269,Solids: Light Orange,Oversized T-Shirts,799,799,0.00%
270,Truck Art: Black Panther,Oversized T-Shirts,749,999,25.03%
271,Tie-Dye: Blue Topaz,Oversized Full Sleeve T-Shirts,999,999,0.00%
272,Solids: Soft Brown,Oversized T-Shirts,999,999,0.00%
273,Solids: Powder Blue,T-Shirts,449,599,25.04%
274,TSS Originals: Acid Drip,Oversized T-Shirts,1299,1299,0.00%
275,Wolverine: Come Together,Oversized T-Shirts,1299,1299,0.00%
276,Harry Potter: Snitch 07,Oversized Polos,1299,1299,0.00%
277,Dexter: Power of Science,Oversized T-Shirts,1049,1049,0.00%
278,TSS Originals: Merlot Navy,Oversized Full Sleeve T-Shirts,799,1199,33.36%
279,Samurai Jack: Blade Of Honor,Oversized Full Sleeve T-Shirts,999,999,0.00%
280,Classic Sustainable Tee: Airforce Blue,T-Shirts,599,599,0.00%
281,Supima: Soft Pink,Supima T-Shirts,999,999,0.00%
282,Dungeons & Dragons: Fighters Club,Men Rugby Polos,1299,1299,0.00%
283,Money Heist: Master Mind Berlin,Oversized T-Shirts,599,999,40.04%
284,Marvel: Wakanda Forever Colourblock,T-Shirts,699,699,0.00%
285,TSS Originals: Canton,Oversized T-Shirts,899,899,0.00%
286,Solids: Navy Blue,T-Shirts,319,599,46.74%
287,TSS Originals: Cinnabar,Oversized Polos,699,999,30.03%
288,Kung Fu Panda: Not Interested,Oversized Full Sleeve T-Shirts,999,999,0.00%
289,Jurassic Park: Prehistoric Paradise (Vintage Wash),Oversized T-Shirts,1049,1049,0.00%
290,Solids: Sage Green,T-Shirts,399,699,42.92%
291,Naruto: Itachi Uchiha,T-Shirts,749,749,0.00%
292,Dungeons & Dragons: Dungeon Master,T-Shirts,399,699,42.92%
293,Classic Sustainable Tee: Emerald Green,T-Shirts,599,599,0.00%
294,Harry Potter: Slytherin Rugby Set,Hooded T-Shirts,1499,1499,0.00%
295,Peanuts: Old School,T-Shirts,649,649,0.00%
296,Rick & Morty: Done with this Universe,Oversized T-Shirts,999,999,0.00%
297,House of the Dragon: Caraxes,Hooded T-Shirts,1399,1399,0.00%
298,Disney: Jungle Book Baloo,T-Shirts,549,699,21.46%
299,Justice League: Comic Time,T-Shirts,849,849,0.00%
300,TSS Originals: 2013,Oversized T-Shirts,1299,1299,0.00%
301,Captain America: The Super Soldier,Oversized Full Sleeve T-Shirts,799,799,0.00%
302,Spider-Man: Amazing Spiderman,Oversized T-Shirts,699,999,30.03%
303,Solids: Nude Pink,Hooded T-Shirts,649,1199,45.87%
304,Ant-Man: Kang The Conqueror,Oversized T-Shirts,549,999,45.05%
